of the Unleavened Bread,ܕܦܛܝܪ̈ܐ
of the Priests,ܕܟܗ̈ܢܐ
"of the First (Day) of the Week, the Thirteenth",ܕܚܕܒܫܒܐ ܕܬܠܬܥܣܪ
"of the First (Day) in the Week, the Fourtheenth",ܕܚܕܒܫܒܐ ܕܐܪܒܬܥܣܪ
"of the First (Day) of the Week, the Eighteenth",ܕܚܕܒܫܒܐ ܕܬܡܢܬ ܥܣܪ
of the Eve of Preparation (of) the Great Week,[ܕܥܪܘܒܬܐ] ◽◽◽ܫܒܬܐ ܪܒܬܐ
"of the First (Day) in the Week, the twentieth",ܕܚܕܒܫܒܐ ܕܥܣܪܝܢ
"of the First (Day) of the Week, the Twenty-First",ܕܚܕܒܫܒܐ ܕܥܣܪܝܢ ܘܚܕ
"of the First (Day) of the Week, the Twenty-Fifth",ܕܚܕܒܫܒܐ ܕܥܣܪܝܢ ܘܚܡ[ܫ]ܐ
"of the First (Day) of the Week, the Twenty-Seventh ",ܕܚܕܒܫܒܐ ܕܥܣܪܝܢ ܘܫܒܥ̈ܐ
for the Commemoration of John the Baptist,ܒܕܘܟܪܢܐ ܕܝܘܚܢܢ ܡܥܡܕܢܐ
"of the Second (Day) of the Week, of the Rest",ܕܬܪ̈ܝܢ ܒܫܒܐ ܕܢܝܚܬܐ
"of the First (Day) of the Week, the Twenty-Eighth",ܕܚܕܒܫܒܐ ܕܥܣܪܝܢ ܘܬܡܢܝܐ
of the Bishops,ܕܐܦܣܩ̈ܦܐ
of the Bishops,ܕܐܦܣ̈ܩܦܐ
"of the Sabbath, of the Great Week",ܕܫܒܬܐ ܕܫܒܬܐ ܪܒܬܐ
"of the First (Day) of the Week, the Thirty-Second",ܕܚܕܒܫܒܐ ܕܬܠܬܝܢ ܘܬܪܝܢ
"of the First (Day) of the Week, the Thirty-Fourth ",ܕܚܕܒܫܒܐ ܕܬܠܬܝܢ ܘܐܪ̈ܒܥܐ
"of the First (Day) of the Week, the Thirty-Fifth",ܕܚܕܒܫܒܐ ܕܬܠܬܝܢ ܘܚܡܫܐ
"of the First (Day) of the Week, the Thirty-Sixth",ܕܚܕܒܫܒܐ ܕܬܠܬܝܢ ܘܫܬܐ
"of the First (Day) of the Week, the Thirty-Eighth",ܕܚܕܒܫܒܐ ܕܬܠܬܝܢ ܘܬܡܢܝ̈ܐ
"of the First (Day) of the Week, the Twenty-Ninth",ܕܚܕܒܫܒܐ ܕܬܠܬܝܢ ܘܬܫ̈ܥܐ
of the Beginning of the Fast,ܕܡܥܠܝ ܨܘܡܐ
of the Manifestation of our Lord; and of the Hosannas,ܕܒܝܬ ܕܢܚܗ ܕܡܪܢ ܘܕܐܘ̈ܫܥܢܐ
of the Bishops; and the Departed,ܕܐܦܣ̈ܩܦܐ ܘܕܥܢܝ̈ܕܐ
"of the Second (Day) of the Week, of the Week of the Rest; and the Beginning of the Fast",ܕܬܪܝܢ ܒܫܒܐ ܕܫܒܬܐ ܕܢܝܚܬܐ ܘܕܡܥ̈ܠܝ ܨܘܡܐ
"of the Manifestation, in the Night",ܕܒܝܬ ܕܢܚܐ ܒܠܠܝܐ
"of the Fourth (Day) of the Week, of the Week of the Rest; and of the Manifestation; and of Pentecost",ܕܐܪ̈ܒܥܐ ܒܫܒܐ ܕܢܝܚܬܐ ܘܕܒܝܬ ܕܢܚܐ ܘܕܦܢܛܩܘܣܛܐ
"of the Second Day) of the Week, of the Week of Nineveh; and on Baptism",ܕܬܪ̈ܝܢ ܒܫܒܐ ܕܫܒܬܐ ܕܢܝܚܬܐ ܘܥܠ ܡܥܡܘܕܝܬܐ
on Bishops,ܕܥܠ ܐܦܣ̈ܩܘܦܐ
"of the Eve of Preparation, of the First Week of the Fast; and of the Departed",ܕܥܪܘܒܬܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ ܘܕܥܢܝ̈ܕܐ
for the Commemoration of the Priests,ܒܕܘܟܪܢܐ ܕܟܗ̈ܢܐ
of the Day of the Manifestation,ܕܝܘܡ ܕܢܚܐ
"of the Fifth (Day) of the Week, of the Rest",ܕܚܡܫܐ ܒܫܒܐ ܕܢܝܚܬܐ
"of the First (Day) of the Week, of Pentecost",ܕܚܕܒܫܒܐ ܕܦܢܛܩܣܛܐ
"of the Sixth Hour, of the Eve of Preparation, of Passion",ܕܫܬ ܫܥܝ̈ܢ ܕܥܪܘܒܬܐ ܕܚܫܐ
(…) Week of the Rest,....ܫܒܬܐ ܕܢܝܚܬܐ
of the Consecration of the Myron,[ܕܩܘܕܫ ܡܘܪܢ]
of Pentecost,ܕܦܢܛܩܘܣܛܝ
the Departed,ܥܢܝ̈ܕܐ
on Departed,ܕܥܠ ܥܢܝ̈ܕܐ
"of the First (Day) of the Week, of the Hosannas; of the New First (Day) of the Week",ܕܚܕܒܫܒܐ ܕܐܘܫܥ̈ܢܐ ܘܚܕܒܫܒܐ ܚܕܬܐ
"of the Second (Day) of the Week, of the Middle Week of the Fast",ܕܬܪܝܢ ܒܫܒܐ ܕܫܒܬܐ ܡܨܥܝܬܐ ܕܨܘܡܐ
of the Offering of the Sabbath of the Circumcision,ܕܩܘܪܒܐ ܕܫܒܬܐ ܕܓܙܘܪܬܐ
of the Fifth (Day) of Mystery,ܕܚܡܫܐ ܕܪܐܙܐ
on high […] Priest [...],ܕܥܠ ܪܫ[ܐ]◽◽◽ܟܗܢܐ◽◽◽
of the Hosannas,ܕܐܘܫܥܢܐ
"of the Eve of Preparation, of the Martyrs",ܕܥܪܘܒܬܐ ܕ[ܣܗ̈ܕ]ܐ
of the virgins,ܕܒܬܘ̈ܠܬܐ
of the Annunciation of Zechariah,ܕܣܘܟܪܗ ܕܙܟܪܝܐ
"of the Departed, on men",ܕܥܢܝ̈ܕܐ ܥܠ ܓܒܪ̈ܐ
"of the Manifestation; and of the First (Day) of the Week, of the Hosannas; and of the New First (Day) of the Week; and of the Ascension",ܕܒܝܬ ܕܢܚܐ ܘܕܚܕܒܫܒܐ ܕܐܘܫܥ̈ܢܐ ܘܕܚܕܒܫܒܐ ܚܕܬܐ ܘܕܣܘܠܩܐ
"of the First (Day) of the Week, of the Beginning of the Fast",ܕܚܕܒܫܒܐ ܕܡܥ̈ܠܝ ܨܘܡܐ
of Pentecost,ܕܦܢܛܩܘܣܛܐ
"of the First (Day) of the Week, of the Unleavened Bread; and it is read for the Commemoration of the Departed",ܕܚܕܒܫܒܐ ܕܦܛܝܪ̈ܐ ܘܡܬܩܪܐ ܒܕܘܟܪܢܐ ܕܥܢܝ̈ܕܐ
"of the Dawn of the First (Day) of the Week, of the Unleavened Bread",ܕܡ̈ܓܗܝ ܚܕܒܫܒܐ ܕܦܛܝܪ̈ܐ
of the Renewal of the Temple,ܕܚܘ̈ܕܬܐ ܕܗܝܟܠܐ
of the Baptism,ܕܡܥܘܡܕܝܬܐ
"of the Second (Day) of the Week, of Pentecost",ܕܬܪ̈ܝܢ ܒܫܒܐ ܕܦܢܛܩܘܣܛܐ
of the Sabbath of the Gospel,ܕܫܒܬܐ ܕܣܒܪܬܐ
for the Day of the Manifestation of our Lord,ܒܝܘܡ ܕܢܚܗ ܕܡܪܢ
"and of the Great First (Day) of the Week, of the Unleavened Bread",ܘܕܚܕܒܫܒܐ ܪܒܐ ܕܦܛܝܪ̈ܐ
and of the Beginning of the Fast,ܘܕܡܥ̈ܠܝ ܨܘܡܐ
"of the Second (Day) of the Week, of the Fast",ܕܬܪܝܢ ܒܫܒܐ ܕܨܘܡܐ
of a Funeral; of the Departed,ܕܕܠܘܘܝܐ ܕܥܢܝ̈ܕܐ
"of the Sabbath, of the Week of the Rest",ܕܫܒܬܐ ܕܫܒܬܐ ܕ[ܢܝܚܬܐ]
for the Commemoration of the Martyrs,ܒܕܘܟܪܢܐ ܕܣܗܕܐ
for the Commemoration of the First Just,ܒܕܘܟܪܢܐ ܕܟܐܢ̈ܐ ܩܕܡܝܐ
"of the Great First (Day) of the Week, of the Unleavened Bread",ܕܚܕܒܫܒܐ ܪܒܐ ܕܦܛܝܪ̈ܐ
"of the First (Day) of the Week, of the Beginning of Pentecost",ܕܚܕܒܫܒܐ ܕܡܥܠܝ ܦܢ̈ܛܩܘܣܛܐ
"of the Eve of Preparation, of the Apostles",ܕܥܪܘܒܬܐ ܕܫܠܝܚ̈ܐ
the Birth of our Lord,ܒܝܬ ܝܠܕܗ ܕܡܪܢ
"of the First (Day) of the Week, the Second, of the Fast",ܕܚܕܒܫܒܐ ܕܬܪܝܢ ܕܨܘܡܐ
of the Rogations,ܕܒܥ̈ܘܬܐ
"of the Night of the Gospel, and the Martyrs",ܕܠܠܝܐ ܪܣܒܬܐ [= +ܕܣܒܪܬܐ+] ܘܣܗ̈ܕܐ
"of the First (Day) of the Week, the Fourth of the Fast; and of the Fourth (Day) of the Week, of the Rest",ܕܚܕܒܫܒܐ ܕܐܪܒܥܐ ܕܨܘܡܐ ܘܕܐܪܒܥܐ ܒܫܒܐ ܕܢܝܚܬܐ
and of the Renewal of the Temple,ܘܕܚܘܕܬܐ ܕܗܝܟܠܐ
"of the Fifth (Day) of Mystery, in the Morning",ܕܚܡܫܐ ܕܪܐܙܐ ܒܨܦܪܐ
of the Night of the Birth,ܕܠܠܝܐ ܕܒܝܬ ܝܠܕܐ
"of the First (Day) of the Week, Sixth, of the Fast",ܕܚܕܒܫܒܐ ܕܐܫܬܐ ܕܨܘܡܐ
of the Baptism,ܕܡܥܡܘܕܝܬܐ
"of the Fourth (Day) of the Week, of the Great Week",ܕܐܪܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ
"of the Eve of Preparation, of the Passion",ܕܥܪܘܒܬܐ ܕܚܐ[ܫܐ]
and of John the Baptist,ܘܕܝܘܚܢܢ ܡܥܡܕܢܐ
"of the First (Day) of the Week, the First, after the Manifestation",ܕܚܕܒܫܒܐ ܩܕܡܝܬܐ [ܕ]ܒܬܪ ܕܢܚܐ
"of the First (Day) of the Week, the Second, after the Manifestation",[ܕ]ܚܕܒܫܒܐ ܕܬܪ̈ܝܢ ܕܒܬܪ ܕܢܚܐ
"of the First (Day) of the Week, the Fourth after the Manifestation",ܕܚܕܒܫܒܐ ܕܐܪܒܥܐ ܕܒܬܪ ܕܢܚܐ
"the First (Day) of the Week, the Fifth, after the Manifestation",ܚܕܒܫܒܐ ܕܚܡܫܐ ܕܒܬܪ ܕܢܚܐ
"of the First (Day) of the Week, the Sixth, after the Manifestation",ܕܚܕܒܫܒܐ ܕܐܝܫܬܐ ܕܒܬܪ ܕܢܚܐ
of First (Day) of the Week […],ܕܚܕܒܫܒܐ....
"of the Great First (Day) of the Week, in DayTime",ܕܚܕܒܫܒܐ ܪܒܐ ܒܐܝܡܡܐ
of the Birth of our Saviour; and of the Apostles,ܕܒܝܬ ܝܠܕܗ ܕܦܪܘܩܢ ܘܕܫܠܝ̈ܚܐ
"of the Eve of Preparation, of Passion, in the Sixth Hour",ܕܥܪܘܒܬܐ ܕܚܫܐ ܒܫܬ ܫܥܝܢ
"of the Fourth (Day) of the Week, of the Week of the Rest",ܕܐܪܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܕܢܝܚܬܐ
"of the Sabbath, of the Week of the Gospel, in the Sixth Hour",ܕܫܒܬܐ ܕܫܒܬܐ ܕܣܒܪܬܐ ܕܒܫܬ ܫܥܝܢ
"in the Eve of Preparation, of the Week of the Rest",ܒܥܪܘܒܬܐ ܕܫܒܬܐ ܕܢܝܚܬܐ
"of the First (Day) of the Week, of the Unleavened Bread",ܕܚܕܒܫܒܐ ܕܦܛܝܪ̈ܐ
for the Commemoration of the Bishops and the Departed,ܒܕܘܟܪܢܐ ܕܐ̈ܦܣܩܘܦܐ ܘܕܥܢܝ̈ܕܐ
of the Commemoration of Bishops and the Departed,ܕܕܘܟܪܢܐ ܕܐ̈ܦܣܩܘܦܐ ܘܕܥܢܝ̈ܕܐ
"of the Great Sabbath, in the Evening, of the Unleavened Bread; and of the Third (Day) of the Week, of the Rest",ܕܫܒܬܐ ܪܒܬܐ ܒܪܡܫܐ ܕܦܛܝܪ̈ܐ ܘܕܬܠܬܐ ܒܫܒܐ ܕܢܝܚܬܐ
of the Ascension of our Lord towards his Father,ܕܣܘܠܩܗ ܕܡܪܢ ܕܠܘܬ ܐܒܘܗܝ
"the First of the Birth; and of the Great First (Day) of the Week, of the Unleavened Bread",ܕܒܝܬ ܝܠܕܐ ܩܕܡܝܐ ܘܕܚܕܒܫܒܐ ܪܒܐ ܕܦܛܝܪ̈ܐ
"of the Fifth (Day) of the Week, of the Middle Week of the Fast; and the Renewal of the Altar",ܕܚܡܫܐ ܒܫܒܐ ܕܫܒܬܐ ܡܨܥܝܬܐ ܕܨܘܡܐ ܘܕܚܘܕܬܐ ܕܡܕܒܚܐ
of the Commemoration of Bishops,ܕܕܘܟܪܢܐ ܕܐܦܣ̈ܩܦܐ
the Great Sabbath,ܫܒܬܐ ܪܒܬܐ
"of the Fourth (Day) of the Week, of the Week of the Rest; and for the Commemoration of Mar Paul and Peter",ܕܐܪ̈ܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܕܢܝܚܬܐ ܘܒܕܘܟܪܢܗ ܕܡܪܝ ܦܛܪܘܣ ܘܕܡܪܝ ܦܘܠܘܣ
"for the Night of the Manifestation, Reading 11",ܠܪܡܫܐ ܕܕܢܚܐ ܩܪܝܢܐ ܝܐ
"of the First (Day) of the Week, of the Beginning of the Fast; and of the Third (Day) of the Week of the Rest; and of the Commemoration of Mar John the Baptist",ܕܚܕܒܫܒܐ ܕܡܥܠܝ̈ ܨܘܡܐ ܘܕܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܕܢܝܚܬܐ ܘܕܕܘܟܪܗ ܕܡܪܝ ܝܘܚܢܢ ܡܥܡܕܢܐ
of the Sabbath in the Week of the Rest; and for the Commemoration of Mar Stephen,ܕܫܒܬܐ ܕܫܒܬܐ ܕܢܝܚܬܐ ܘܒܕܘܟܪܢܗ ܕܡܪܝ ܣܛܦܢܘܣ
of the Ascension; and of the Baptism; and of the Dawn of the Great First (Day) of the Week,ܕܣܘܠܩܐ ܘܕܡܥܡܘܕܝܬܐ ܘܕܡܓܗܝ ܚܕܒܫܒܐ ܪܒܐ
"for the Night of the Manifestation, Reading 4",ܠܪܡܫܐ ܕܕܢܚܐ ܩܪܝܢܐ ܕ
"for the Night of the Manifestation, 12",ܠܪܡܫܐ ܕܕܢܚܐ ܝܒ
of the Sabbath of the First Week of the Fast; and for the Commemoration of the Departed,ܕܫܒܬܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ ܘܒܕܘܟܪܢܐ ܕܥܢܝ̈ܕܐ
"(..), of the Great Week",؟ ܕܫܒܬܐ ܪܒܬܐ
"of the Birth; and of the Ninth Hour of the Eve of Preparation, of the Passion",ܕܒܝܬ ܝܠܕܐ ܘܕܬܫܥ ܫܥܝ̈ܢ ܕܥܪܘܒܬܐ ܕܚܫܐ
for the Night of the Manifestation; 5,ܠܪܡܫܐ ܕܕܢܚܐ ܗ
of the Commemoration of the Apostles,ܕܕܘܟܪܢܐ ܕܫܠܝ̈ܚܐ
of the Myron,ܕܡܘܪܢ
"of the First (Day) of the Week, of the Beginning of the Fast",ܕܚܕܒܫܒܐ ܕܡܥܠܝ̈ ܨܘܡܐ
"of the Fourth (Day) of the Week, of the Fast",ܕܐܪܒܥܐ ܒܫܒܐ ܕܨܘܡܐ
"of the First (Day) of the Week, of the Unleavened Bread",ܕܚܕܒܫܒܐ ܕܦܛܝܪܐ
"of the Fourth (Day) of the Week, of the Great Week",ܕܐܪ̈ܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ ܘܕܚܫܐ
"of the Fourth (Day) of the Week, of the Fast",ܕܐܪ̈ܒܥܐ ܒܫܒܐ ܕܨܘܡܐ
"of the First (Day) of the Week, of the Unleavened Bread",◽◽◽ܕܚܕܒܫܒܐ ܕܦܛܝܪܐ
of the Beginning of the Great Week,ܕܡܥ̈ܠܝ ܫܒܬܐ ܪܒܬܐ
of the Eve of Preparation of the Crucifixion,ܕܥܪܘܒܬܐ ܕܨܠܝܒܘܬܐ
when the Oil of Baptism is Consecrated,ܡܐ ܕܡܬܩܕܫ ܡܫܚܐ ܕܡܥܡܘܕܝܬܐ
"of the First (Day) of the Week, of the Beginning of the Fast",ܕܚܕܒܫܒܐ ܕܡܥܠܘܗܝ ܕܨܘܡܐ
"of the Third (Day) of the Week, of the First Week of the Fast",ܕܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ
"of the Third (Day) of the Week, of the Great Week",ܕܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ◽◽[ܪܒܬܐ]◽◽◽
of the Birth,ܕܝܠܕ◽◽◽◽
of (…),ܕܒ◽◽◽◽ܟ
"of the Fourth […], of Week […]",ܕܐܪܒ◽◽◽ܕܫܒܬܐ◽◽◽◽
of the Consecration of the Myron,ܕܩܘܕܫ ܡܘܪܘܢ
"of the Fourth (Day) of the Week, of the Rest; and of the Sabbath of the First Week of the Fast",ܕܐܪ̈ܒܥܐ ܒܫܒܐ ܕܢܝܚܬܐ ܘܕܫܒܬܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ
of the Second Week of the Baptism,ܕܫܒܬܐ ܕܬܪ̈ܬܝܢ ܕܡܥܡܘܕܝܬܐ
"of the Second (Day) of the Week, of the Week of the Rest; and of John the Baptist",ܕܬܪ̈ܝܢ ܒܫܒܐ ܕܫܒ[ܬܐ ܕܢܝܚܬܐ] ܘܕܝܘܚܢܢ ܡܥܡܕܢܐ
for the Commemoration of the Infants,ܒܕܘܟܪܢܐ ܕܝܠܘ̈ܕܝܐ
"of the First (Day) of the Week, the Fourth after the Manifestation",ܕܚܕܒܫܒܐ ܕܐܪ̈ܒܥܐ ܒܬܪ ܕܢܚܐ
"of the First (Day) of the Week, after the Manifestation",ܕܚܕܒܫܒܐ ܕܒܬܪ ܕܢܚܐ
of First (Day) of the Week,ܕܚܕܒܫܒܐ [...]
of the (..)th First (Day) in the Week,ܕܚܕܒܫܒܐ ܕܫ[...]
"of the First (Day) of the Week, the Fourth after the Manifestation",ܕܚܕܒܫܒܐ [ܕܐܪ̈ܒܥܐ] ܒܬܪ [ܕܢܚܐ]
"of the First (Day) of the Week, the Sixth, of the Fast; and of the Baptism; and in Times of an Earthquake; and of the Renewal of the Temple",ܕܚܕܒܫܒܐ ܕܫܬܐ ܕܨܘܡܐ ܘܕܡܥܡܘܕܝܬܐ ܘܒܙܒܢܐ ܕܙܘܥܐ ܘܚܘܕܬܐ ܕܗܝܟܠܐ
of the Birth,[ܕܒܝܬ] ܝܠܕܐ
for the Commemoration of one of the Priests; and for the Commemoration of Bishops,ܒܕܘܟܪܢܐ ܕܚܕ ܡܢ ܟܗ̈ܢܐ ܘܕܘܟܪܢܐ ܐܦܝܣ̈ܩܘܦܐ
"of the First (Day) of the Week, the Fifth, of the Fast; and when one is Blessing the Water of the Manifestation; and of the Fourth (Day) of the Week, of the Week of the Rest; and of Baptism",ܕܚܕܒܫܒܐ ܕܚܡܫܐ ܕܨܘܡܐ ܘܡܐ ܕܡܬܒܪܟܝܢ ܡܝ̈ܐ ܕܒܝܬ ܕܢܚܐ ܘܕܐܪ̈ܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܕܢܝܚܬܐ ܘܕܡܥܡܘܕܝܬܐ
of John the Baptist,ܕܝܘܚܢܢ ܡܥܡܕܢܐ
"of the Eve of Preparation, of the Crucifixion",ܕܥܪܘܒܬܐ ܕܙܩܝܦܘܬܐ
"of the Fifth (Day) of the Week, of Week of Mystery",{ܕܚܡܫܐ ܒܫܒܐ ܕܪܐܙܐ}
"of the Eve of Preparation, of the Crucifixion",<ܕܥܪܘܒܬܐ ܕܙܩܝܦܘܬܐ>
of John the Baptist,{ܕܝܘܚܢܢ ܡܥܡܕܢܐ}
of the Birth of our Lord,{ܕܝܠܕܐ} ܕܡܪܢ
of the Bishops,ܕܐܦܣܩ̈ܘܦܐ
"of the Fifth (Day) of the Week, of the First Week of the Fast",<ܕܚ̥ܡ̥ܫܐ ܒܫ̥ܒ̥ܐ ܕܫ̩ܒ̩ܬ̩ܐ̩ ܩ̩ܕ̩ܡ̩ܝܬܐ ܕܨܘܡܐ>
of the Beginning of the Great Sabbath,<ܕܡܥ̈ܠܝ {ܫܒܬܐ ܪܒܬܐ} >
"of the Second (Day) of the Week, of the Great Week",<ܕܬܪ̈ܝܢ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ>
"of the Fourth (Day) of the Week, of the Great Week",<ܕܐܪ̈ܒ̥ܥܐ ܒܫܒ̩ܐ ܕܫ̩ܒܬܐ ܪܒܬܐ >
"of First (Day) of the Week, of the Middle Week of the Fast",<ܕܚܕܒܫܒܐ ܕܡܥ̈ܠܝ ܨܘܡܐ>
"of the Fifth (Day) of the Week, of Mystery",<ܕܚܡܫܐ ܒܫܒܐ ܕܪܐܙܐ>
"of the Third (Day) of the Week, of the Great Week",<ܕܬܠܬܐ ܒ̥ܫ̥ܒ̥ܐ̥ ܕ̥ܫ̥ܒ̥ܬ̩ܐ̩ ܪܒܬܐ>
for the Commemoration of the Bishops and the Departed,ܒܕܘܟܪܢܐ ܕܐܦܣ̈ܩܦܐ ܘܕܥܢܝ̈ܕܐ
of the Manifestation of our Saviour Jesus,ܕܕܢܚܗ ܕܦܪܘܩܢ ܝܫܘܥ
"of the Fourth (Day) of the Week, of the Great Week",<ܕܐܪ̈ܒ̥ܥܐ ܒ̩ܫ̩ܒ̩ܐ ܕܫܒܬܐ ܪܒܬܐ>
"of the Fifth (Day) of the Week, of the Great Week",{ܕܚܕܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ}
"of the Sabbath of the Great Week, in the Night",<ܕܫܒܬܐ ܕ̩ܫ̥ܒ̥ܬ̥ܐ̥ ܪ̩ܒ̥ܬܐ {ܒ̥ܠ̥ܠܝ̥ܐ} >
"of the Fourth (Day) of the Week, of the First Week of the Fast",ܕܐܪ̈ܒܥܐ ܒ̩ܫ̩ܒ̩ܐ̩ ܕ̩ܫ̩ܒ̩ܬ̩ܐ̩ ܩ̩ܕ̩ܡ̩ܝ̩ܬ̩ܐ̩> ܕܨܘܡܐ
"of the Fifth (Day) of the Week, of the Great Week",<ܕܚܡܫܐ ܒܫ̥ܒ̥ܐ ܕܫܒܬܐ ܪܒܬܐ>
in Commemoration of the Departed,<ܒ̥ܕ̥ܘ̥ܟ̥ܪ̥ܢ̥ܐ̥ ܕܥ̩ܠ̩ ܥܢ̩ܝ̣̈ܕܐ >
of the Ascension of our Lord; and of the Departed,{ܕܣܘܠܩܗ ܕܡܪܢ ܘܕܥܢܝ̈ܕܐ}
of the Beginning of the Fast,{ܕܡܥ̈ܠܝ ܨܘܡܐ}
"of the First (Day) of the Week, of Pentecost",<ܕܚܕܒܫܒܐ ܕܦܢܛܩܘܣܛܐ>
of the Mystery,{ܕܪܐܙܐ}
"of the Fourth (Day) of the Week, of the First Week of the Great Fast",ܕܐܪ̈ܒܥܐ ܒܫܒܐ {ܩܕܡܝܬܐ ܕܨܘܡܐ ܕܫܒܬܐ}
"of the First (Day) of the Week, of the Unleavened Bread",<{ܕܚܕܒܫܒܐ ܕܦܛܝܪܐ}>
When one becomes Bishop,< {ܡܐ ܕܗܘܐ} ܕܐܦܣܩܘܦܐ>
of the Manifestation of our Lord; and of the Unleavened Bread,<ܕܕ̥ܢ̥ܚ̥ܐ̥ ܕܡܪܢ ܘܕܦܛܝܪܐ>
"of the Third (Day) of the Week, of the Great Week",<ܕܬ̩ܠ̩ܬ̩ܐ̩ ܒ̩ܫ̩ܒ̩ܐ̩ ܕ̩ܫ̩ܒܬܐ ܪܒܬܐ>
"of the Fourth (Day) of the Week, of the Great Week",<ܕܐܪ̥̈ܒ̥ܥ̥ܐ̥ ܒ̥ܫ̥ܒ̥ܐ̥ ܕܫ̥ܒ̥ܬܐ ܪ̥ܒ̥ܬܐ>
"of the Fifth (Day) of the Week, of the First Week of the Fast",<ܕܚ̥ܡ̥ܫ̩ܐ ܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ>
"of the Eve of Preparation, of the First Week of Fast",<ܕܥܪܘܒܬܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ>
of Bishops; and of Departed,<ܕܐܦܣ̈ܩܦܐ ܘܕܥܢܝ̈ܕܐ>
"of the Sabbath, of the Great Week",<ܕܫܒܬܐ ܕܫܒܬܐ ܪܒܬܐ >
"of the Fifth (Day) of the Week, of the Week of the Rest",<ܕܚܡܫܐ ܒܫܒܐ ܕܫܒܬܐ ܕܢ̥ܝ̥ܚ̥ܬܐ>
for the Commemoration of Bishops and the Departed,<ܒܕܘܟܪܢܐ ܕܐ̈ܦܣܩܦܐ ܘܕܥܢܝ̈ܕܐ>
of the Birth of our Lord,ܕܝܠܕܗ ܕܡܪܢ
"of the Second (Day) of the Week, of the First Week of the Fast",<ܕܬܪܝܢ ܒܫܒܐ ܕܫܒܬܐ ܩ̥ܕ̥ܡ̥ܝ̥ܬ̥ܐ̥ ܕܨܘܡܐ>
"of the Third (Day) of the Week, of the First Week of the Fast",<ܕܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ>
"of the Fourth (Day) of the Week, of the First Week",ܕܐܪ̈ܒܥܐ ܒܫܒܐ ܕ̥ܫ̥ܒ̥ܬܐ ܩܕܡܝܬܐ >
"of the Fifth (Day) of the Week, of the First Week of the Fast",<ܕܚܡ̥ܫ̥ܐ̥ ܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ>
"of the Birth, the First",<ܕܒܝܬ ܝܠܕܐ ܩܕܡܝܐ>
of the Manifestation of our Lord,ܕܕܢܚܗ ܕܡܪܢ
"of the Eve of Preparation, of the Week of the Rest",<ܕܥܪܘܒܬܐ ܕܫܒܬܐ ܕܢܝܚܬܐ>
"of the Second (Day) of the Week, of the Week of the Rest",<ܕܬܪ̈ܝܢ ܒܫܒܐ ܕܫܒܬܐ ܕܢܝܚܬܐ>
for the Commemoration of the Martyrs,ܒܕܘܟܪܢܐ ܕܣ̈ܗܕܐ
of the Completion of Pentecost; and of the Ascension,ܕܫܘܠܡܐ ܕܦܢܛܩܘܣܛܐ ܘܕܣܘܠܩܐ
"of the Fourth (Day) of the Week, of the Great Week",<ܕܐܪ̈ܒܥܐ ܒ̩ܫ̩ܒܐ ܕ̥ܫ̥ܒ̥ܬ̥ܐ̥ ܪ̥ܒ̥ܬܐ>
"of the Fifth (Day) of the Week, of the Great Week",{ܕܚܡܫܐ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ}
of the Martyrs,ܕܣܗ̈ܕܐ
"of the Third (Day) of the Week, of the Great Week",<ܕܬ̥ܠܬܐ ܒ̥ܫ̥ܒ̥ܐ̥ ܕ̩ܫ̩ܒ̩ܬܐ ܪܒܬܐ>
"of the Sabbath, of the Great Week",{ܕܫܒܬܐ ܕܫܒܬܐ ܪܒܬܐ}
of the Great First (Day) of the Week,<ܕܚܕܒܫܒܐ ܪܒܐ>
"of the Third (Day) of the Week, of the Great Week",<ܕܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ>
"of the Fifth (Day) of the Week, of the Middle Week of the Fast",<ܕܚܡܫܐ ܒܫܒܐ ܕܫܒܬܐ ܡܨܥܝܬܐ ܕܨܘܡܐ>
